DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
159,0.39,0.67,0.46,0.4,0.61
178,0.59,0.88,0.64,0.57,1.59
195,0.62,0.87,0.64,0.59,2.1
204,0.67,0.85,0.64,0.6,2.14
209,0.57,0.83,0.61,0.55,2.05
217,0.54,0.82,0.59,0.53,2.07
228,0.39,0.65,0.46,0.4,1.63
