Trt,DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
No N,189,0.06,0.11,0.05,0.04,0.3
No N,201,0.1,0.26,0.14,0.11,0.9
No N,208,0.27,0.71,0.41,0.33,1.5
No N,216,0.38,0.79,0.51,0.42,1.7
No N,229,0.45,0.85,0.56,0.48,2
No N,260,0.43,0.71,0.49,0.43,1.9
No N,280,0.39,0.55,0.4,0.35,2.1
