DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
93,0.77,0.54,0.6,0.58,0.96
107,0.39,0.26,0.24,0.28,1.32
129,0.46,0.31,0.29,0.34,1.78
143,0.41,0.27,0.25,0.3,1.93
