Trt,DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
Basal N,189,0.25,0.5,0.33,0.27,0.6
Basal N,201,0.29,0.58,0.38,0.32,1.3
Basal N,208,0.38,0.8,0.51,0.42,1.8
Basal N,216,0.42,0.83,0.55,0.46,2
Basal N,229,0.44,0.86,0.57,0.48,2.5
Basal N,260,0.43,0.69,0.49,0.43,2.3
Basal N,280,0.35,0.52,0.37,0.33,2.4
