Trt,DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
No_N,203,0.26,0.52,0.34,0.28,0.98
No_N,230,0.28,0.69,0.41,0.33,1.47
No_N,244,0.31,0.72,0.45,0.37,1.65
No_N,263,0.35,0.56,0.39,0.34,2.13
No_N,280,0.22,0.4,0.28,0.24,1.85
