Trt,DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
No N,193,0.12,0.31,0.18,0.15,0.38
No N,197,0.13,0.35,0.2,0.16,0.88
No N,201,0.2,0.51,0.3,0.25,1.4
No N,250,0.59,0.8,0.55,0.48,1.61
No N,269,0.28,0.43,0.31,0.28,1.63
No N,280,0.25,0.41,0.29,0.26,1.81
