DOY,MTVI1,NDVI,OSAVI,RDVI,LAI,
59,0.4,0.78,0.51,0.43,0.69,
69,0.43,0.82,0.56,0.48,1.4,                
84,0.5,0.97,0.65,0.56,4.94,
97,0.59,0.93,0.67,0.59,4.49,
