DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
159,0.32,0.61,0.41,0.35,0.45
178,0.62,0.86,0.63,0.58,1.66
195,0.66,0.85,0.64,0.59,2.15
204,0.65,0.85,0.64,0.59,2.13
209,0.55,0.79,0.58,0.52,2.05
217,0.56,0.76,0.57,0.52,2.13
228,0.46,0.7,0.5,0.44,1.79
