Trt,DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
FN,203,0.33,0.67,0.44,0.37,1.4
FN,230,0.44,0.85,0.56,0.47,2.49
FN,244,0.48,0.86,0.58,0.5,2.83
FN,263,0.37,0.62,0.42,0.36,2.97
FN,280,0.32,0.47,0.34,0.31,2.51
