Trt,DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
No_N,194,0.07,0.11,0.07,0.06,0.5
No_N,210,0.25,0.44,0.30,0.26,1.07
No_N,224,0.25,0.58,0.35,0.29,1.29
No_N,238,0.32,0.66,0.42,0.35,1.32
No_N,259,0.38,0.63,0.43,0.37,1.39
No_N,273,0.47,0.66,0.47,0.41,1.41
