DOY,MTVI1,NDVI,OSAVI,RDVI,LAI,
84,0.26,0.46,0.32,0.27,1.4,
97,0.61,0.93,0.68,0.61,3.56,                
127,0.61,0.95,0.68,0.61,3.38,
148,0.44,0.78,0.54,0.47,2.69,
158,0.22,0.41,0.29,0.25,2.01,
