Trt,DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
FN,194,0.23,0.42,0.28,0.24,0.89
FN,210,0.43,0.78,0.53,0.45,2.04
FN,224,0.47,0.86,0.58,0.49,2.17
FN,238,0.45,0.85,0.56,0.48,2.37
FN,259,0.56,0.76,0.56,0.50,2.33
FN,273,0.49,0.68,0.48,0.42,2.46
