DOY,MTVI1,NDVI,OSAVI,RDVI,LAI,
84,0.16,0.49,0.24,0.19,0.33,
97,0.4,0.77,0.52,0.44,1.64,                
127,0.5,0.82,0.59,0.52,2.66,
148,0.08,0.27,0.18,0.16,1.52,
