DOY,MTVI1,NDVI,OSAVI,RDVI,LAI,
59,0.39,0.62,0.44,0.39,0.62,
69,0.41,0.81,0.54,0.46,1.26,                
84,0.44,0.97,0.62,0.52,4.1,
97,0.56,0.93,0.66,0.58,3.48,
