DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
62,0.8,0.56,0.63,0.6,1.6
79,0.82,0.6,0.72,0.63,2.07
95,0.77,0.54,0.6,0.58,2.36
107,0.72,0.48,0.5,0.53,2.3
129,0.49,0.32,0.32,0.36,1.79
