Trt,DOY,MTVI1,NDVI,OSAVI,RDVI,LAI
Heavy N,193,0.35,0.8,0.5,0.41,1
Heavy N,197,0.42,0.88,0.57,0.48,2.15
Heavy N,201,0.51,0.91,0.62,0.53,3.05
Heavy N,250,0.62,0.85,0.59,0.51,4.37
Heavy N,269,0.67,0.76,0.58,0.56,4.28
Heavy N,280,0.5,0.64,0.48,0.44,3.25
