DOY,MTVI1,NDVI,OSAVI,RDVI,LAI,
59,0.41,0.65,0.46,0.41,0.67,
69,0.45,0.84,0.57,0.49,1.3,                
84,0.47,0.97,0.64,0.54,4.42,
97,0.55,0.92,0.65,0.57,3.74,
